Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
organ formation	GO:0048645	biological process	9606	1	7	0.0047892126842960375	0.028952967591426047	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
positive regulation of transcription from RNA polymerase III promoter	GO:0045945	biological process	9606	1	7	0.0047892126842960375	0.028952967591426047	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
histone H3-K4 trimethylation	GO:0080182	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
prostate gland development	GO:0030850	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
prostate gland epithelium morphogenesis	GO:0060740	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of systemic arterial blood pressure	GO:0003073	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
reproductive structure development	GO:0048608	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
translesion synthesis	GO:0019985	biological process	9606	1	10	0.0068352437126085516	0.031347841854377154	REV3L; 	REV3L|IDBG-95364|ENSG00000009413|5980|; 
cellular response to steroid hormone stimulus	GO:0071383	biological process	9606	1	8	0.0054716549373898665	0.031640439420558795	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
prostate gland growth	GO:0060736	biological process	9606	1	8	0.0054716549373898665	0.031640439420558795	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
transcription, DNA-templated	GO:0006351	biological process	9606	5	1938	0.00706556009960879	0.03185489807620234	AR; CSNK2A1; EEF1A1; PCGF6; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; PCGF6|IDBG-88407|ENSG00000156374|84108|; UBC|IDBG-64029|ENSG00000150991|7316|; 
AT DNA binding	GO:0003680	molecular function	9606	1	9	0.00615366519659645	0.032737498845893116	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
energy homeostasis	GO:0097009	biological process	9606	1	9	0.00615366519659645	0.032737498845893116	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
positive regulation of intracellular estrogen receptor signaling pathway	GO:0033148	biological process	9606	1	9	0.00615366519659645	0.032737498845893116	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
nucleoplasm	GO:0005654	cellular component	9606	4	1132	0.005844568130219946	0.033077768566776716	AR; HIST2H2BE; HIST3H3; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; UBC|IDBG-64029|ENSG00000150991|7316|; 
PRC1 complex	GO:0035102	cellular component	9606	1	13	0.008877391307095365	0.03373408696696238	PCGF6; 	PCGF6|IDBG-88407|ENSG00000156374|84108|; 
epithelial cell morphogenesis	GO:0003382	biological process	9606	1	13	0.008877391307095365	0.03373408696696238	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
gonadal mesoderm development	GO:0007506	biological process	9606	1	13	0.008877391307095365	0.03373408696696238	TSPY1; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
histone H4-K16 acetylation	GO:0043984	biological process	9606	1	13	0.008877391307095365	0.03373408696696238	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
histone methyltransferase activity (H3-K4 specific)	GO:0042800	molecular function	9606	1	13	0.008877391307095365	0.03373408696696238	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
response to inorganic substance	GO:0010035	biological process	9606	1	13	0.008877391307095365	0.03373408696696238	EEF1A2; 	EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
virion assembly	GO:0019068	biological process	9606	1	13	0.008877391307095365	0.03373408696696238	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
zinc ion binding	GO:0008270	molecular function	9606	4	1223	0.007686913227842184	0.034078648643433684	AR; KDM5D; MLL; PCGF6; 	AR|IDBG-73722|ENSG00000169083|367|; KDM5D|IDBG-354|ENSG00000012817|8284|; MLL|IDBG-73725|ENSG00000118058|4297|; PCGF6|IDBG-88407|ENSG00000156374|84108|; 
transcription regulatory region DNA binding	GO:0044212	molecular function	9606	2	181	0.006593548909042826	0.03438988254520376	AR; MLL; 	AR|IDBG-73722|ENSG00000169083|367|; MLL|IDBG-73725|ENSG00000118058|4297|; 
Sin3 complex	GO:0016580	cellular component	9606	1	12	0.00819710651768846	0.03461000529690683	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
viral protein processing	GO:0019082	biological process	9606	1	12	0.00819710651768846	0.03461000529690683	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
transcription initiation from RNA polymerase II promoter	GO:0006367	biological process	9606	2	184	0.006806659051999769	0.03481867899676804	AR; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; UBC|IDBG-64029|ENSG00000150991|7316|; 
Leydig cell differentiation	GO:0033327	biological process	9606	1	14	0.009557245355139276	0.03482503102009654	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
positive regulation of insulin-like growth factor receptor signaling pathway	GO:0043568	biological process	9606	1	14	0.009557245355139276	0.03482503102009654	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of type I interferon production	GO:0032479	biological process	9606	1	14	0.009557245355139276	0.03482503102009654	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
sequence-specific DNA binding	GO:0043565	molecular function	9606	3	629	0.008098428475848215	0.03531445859960041	AR; HIST2H2AC; HIST2H2BE; 	AR|IDBG-73722|ENSG00000169083|367|; HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
gene expression	GO:0010467	biological process	9606	3	680	0.01002968302332634	0.03605264438114603	AR; EEF1A1; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; UBC|IDBG-64029|ENSG00000150991|7316|; 
cellular process	GO:0009987	biological process	9606	1	15	0.010236668910771974	0.03630605240353794	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
Hsp90 protein binding	GO:0051879	molecular function	9606	1	17	0.011594225546858117	0.03903878475271214	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
histone H3-K4 methylation	GO:0051568	biological process	9606	1	17	0.011594225546858117	0.03903878475271214	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
intracellular transport of virus	GO:0075733	biological process	9606	1	17	0.011594225546858117	0.03903878475271214	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
lysine-acetylated histone binding	GO:0070577	molecular function	9606	1	17	0.011594225546858117	0.03903878475271214	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
NuRD complex	GO:0016581	cellular component	9606	1	18	0.012272359126872343	0.03933069310539811	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
male meiosis I	GO:0007141	biological process	9606	1	18	0.012272359126872343	0.03933069310539811	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
mammary gland alveolus development	GO:0060749	biological process	9606	1	18	0.012272359126872343	0.03933069310539811	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
molecular_function	GO:0003674	molecular function	9606	3	724	0.011897566811199538	0.03955940964723847	HIST2H2AC; HIST2H2BE; TSPY1; 	HIST2H2AC|IDBG-102011|ENSG00000184260|8338|; HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
protein binding	GO:0005515	molecular function	9606	11	9632	0.01296506245082578	0.04105603109428164	AR; CSNK2A1; EEF1A1; EEF1A2; HIST3H3; KDM5D; MLL; PCGF6; REV3L; TSPY1; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; HIST3H3|IDBG-107261|ENSG00000168148|8290|; KDM5D|IDBG-354|ENSG00000012817|8284|; MLL|IDBG-73725|ENSG00000118058|4297|; PCGF6|IDBG-88407|ENSG00000156374|84108|; REV3L|IDBG-95364|ENSG00000009413|5980|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; UBC|IDBG-64029|ENSG00000150991|7316|; 
GTP catabolic process	GO:0006184	biological process	9606	2	272	0.014403032312982808	0.04256896216948252	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
GTPase activity	GO:0003924	molecular function	9606	2	272	0.014403032312982808	0.04256896216948252	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription	GO:0001227	molecular function	9606	1	20	0.013627338056851204	0.042645552036734355	PCGF6; 	PCGF6|IDBG-88407|ENSG00000156374|84108|; 
cellular response to epidermal growth factor stimulus	GO:0071364	biological process	9606	1	21	0.014304183905034882	0.04323764680385544	EEF1A1; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; 
embryonic hemopoiesis	GO:0035162	biological process	9606	1	21	0.014304183905034882	0.04323764680385544	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
female gonad development	GO:0008585	biological process	9606	1	21	0.014304183905034882	0.04323764680385544	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
Notch receptor processing	GO:0007220	biological process	9606	1	22	0.014980601009406461	0.04331347683154477	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
histone methyltransferase complex	GO:0035097	cellular component	9606	1	22	0.014980601009406461	0.04331347683154477	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
DNA methylation	GO:0006306	biological process	9606	1	24	0.016332149975911703	0.04573001993255277	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
innate immune response in mucosa	GO:0002227	biological process	9606	1	24	0.016332149975911703	0.04573001993255277	HIST2H2BE; 	HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
translation factor activity, nucleic acid binding	GO:0008135	molecular function	9606	1	24	0.016332149975911703	0.04573001993255277	EEF1A2; 	EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
adipose tissue development	GO:0060612	biological process	9606	1	25	0.01700728233700005	0.046162623486143	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
nucleotide-binding oligomerization domain containing signaling pathway	GO:0070423	biological process	9606	1	25	0.01700728233700005	0.046162623486143	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
steroid binding	GO:0005496	molecular function	9606	1	25	0.01700728233700005	0.046162623486143	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
MLL1 complex	GO:0071339	cellular component	9606	1	27	0.01835626405660236	0.046502535610059306	MLL; 	MLL|IDBG-73725|ENSG00000118058|4297|; 
antibacterial humoral response	GO:0019731	biological process	9606	1	27	0.01835626405660236	0.046502535610059306	HIST2H2BE; 	HIST2H2BE|IDBG-101997|ENSG00000184678|8349|; 
DNA repair	GO:0006281	biological process	9606	2	311	0.0185569193585762	0.046567363673408205	REV3L; UBC; 	REV3L|IDBG-95364|ENSG00000009413|5980|; UBC|IDBG-64029|ENSG00000150991|7316|; 
glycogen biosynthetic process	GO:0005978	biological process	9606	1	26	0.017681986947904627	0.04656840126873892	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
positive regulation of phosphorylation	GO:0042327	biological process	9606	1	26	0.017681986947904627	0.04656840126873892	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0061418	biological process	9606	1	26	0.017681986947904627	0.04656840126873892	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
positive regulation of transcription from RNA polymerase II promoter	GO:0045944	biological process	9606	3	849	0.01826077625125965	0.047158897891602596	AR; MLL; UBC; 	AR|IDBG-73722|ENSG00000169083|367|; MLL|IDBG-73725|ENSG00000118058|4297|; UBC|IDBG-64029|ENSG00000150991|7316|; 
positive regulation of apoptotic process	GO:0043065	biological process	9606	2	307	0.018109789600418234	0.04722749052658089	EEF1A2; UBC; 	EEF1A2|IDBG-86175|ENSG00000101210|1917|; UBC|IDBG-64029|ENSG00000150991|7316|; 
positive regulation of Wnt signaling pathway	GO:0030177	biological process	9606	1	30	0.020376532856317055	0.05065567981103118	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
DNA-directed DNA polymerase activity	GO:0003887	molecular function	9606	1	31	0.02104910244027013	0.05184315971399865	REV3L; 	REV3L|IDBG-95364|ENSG00000009413|5980|; 
chaperone-mediated protein folding	GO:0061077	biological process	9606	1	32	0.02172124576321649	0.05300781076161089	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
negative regulation of type I interferon production	GO:0032480	biological process	9606	1	33	0.02239296307163955	0.053662416009514595	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
rhythmic process	GO:0048511	biological process	9606	1	33	0.02239296307163955	0.053662416009514595	CSNK2A1; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; 
DNA-dependent DNA replication	GO:0006261	biological process	9606	1	35	0.02373512063637338	0.05490036599369842	REV3L; 	REV3L|IDBG-95364|ENSG00000009413|5980|; 
RNA polymerase II transcription factor binding	GO:0001085	molecular function	9606	1	35	0.02373512063637338	0.05490036599369842	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
negative regulation of epidermal growth factor receptor signaling pathway	GO:0042059	biological process	9606	1	35	0.02373512063637338	0.05490036599369842	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	GO:0016706	molecular function	9606	1	35	0.02373512063637338	0.05490036599369842	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
chromatin binding	GO:0003682	molecular function	9606	2	371	0.025817621975367983	0.05819904614786343	AR; MLL; 	AR|IDBG-73722|ENSG00000169083|367|; MLL|IDBG-73725|ENSG00000118058|4297|; 
4 iron, 4 sulfur cluster binding	GO:0051539	molecular function	9606	1	38	0.0257451680656527	0.058531749619347165	REV3L; 	REV3L|IDBG-95364|ENSG00000009413|5980|; 
GTP binding	GO:0005525	molecular function	9606	2	381	0.027125392635359187	0.05866141821955727	EEF1A1; EEF1A2; 	EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; EEF1A2|IDBG-86175|ENSG00000101210|1917|; 
cell proliferation	GO:0008283	biological process	9606	2	370	0.02568833876832469	0.05890601821012386	AR; TSPY1; 	AR|IDBG-73722|ENSG00000169083|367|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
negative regulation of extrinsic apoptotic signaling pathway	GO:2001237	biological process	9606	1	39	0.02641433448458412	0.05904380649495274	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
androgen receptor binding	GO:0050681	molecular function	9606	1	40	0.02708307662025369	0.05904998672940558	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
intracellular receptor signaling pathway	GO:0030522	biological process	9606	1	40	0.02708307662025369	0.05904998672940558	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity	GO:0004879	molecular function	9606	1	40	0.02708307662025369	0.05904998672940558	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
spermatogenesis	GO:0007283	biological process	9606	2	387	0.027922991627127754	0.059420126182527865	AR; TSPY1; 	AR|IDBG-73722|ENSG00000169083|367|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
I-kappaB kinase/NF-kappaB signaling	GO:0007249	biological process	9606	1	42	0.02841928902544176	0.05952386520289376	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	GO:0035872	biological process	9606	1	42	0.02841928902544176	0.05952386520289376	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
fertilization	GO:0009566	biological process	9606	1	41	0.02775139471781182	0.05953121770111245	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
androgen receptor signaling pathway	GO:0030521	biological process	9606	1	43	0.029086759788822632	0.060445922686147034	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
mitotic cell cycle	GO:0000278	biological process	9606	2	416	0.031912039557377335	0.06580312032761529	CSNK2A1; UBC; 	CSNK2A1|IDBG-37787|ENSG00000101266|1457|; UBC|IDBG-64029|ENSG00000150991|7316|; 
protein oligomerization	GO:0051259	biological process	9606	1	48	0.03241776904769051	0.06633174282065904	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
regulation of transcription, DNA-templated	GO:0006355	biological process	9606	4	1898	0.03419577870786713	0.0694357033304783	AR; CSNK2A1; EEF1A1; MLL; 	AR|IDBG-73722|ENSG00000169083|367|; CSNK2A1|IDBG-37787|ENSG00000101266|1457|; EEF1A1|IDBG-92423|ENSG00000156508|102724204,1915|; MLL|IDBG-73725|ENSG00000118058|4297|; 
cell growth	GO:0016049	biological process	9606	1	52	0.03507497773601487	0.06962644834164144	AR; 	AR|IDBG-73722|ENSG00000169083|367|; 
endocytic vesicle membrane	GO:0030666	cellular component	9606	1	52	0.03507497773601487	0.06962644834164144	UBC; 	UBC|IDBG-64029|ENSG00000150991|7316|; 
