query_ID	query_uniprot	partner_uniprot	query_symbol	partner_symbol	species	evidence_type
CDY1B	Q9Y6F8	P62805	CDY1	HIST1H4A	human	exp
CDY1B	Q9Y6F8	Q14781	CDY1	CBX2	human	pred
CDY1B	Q9Y6F8	Q9H5I1	CDY1	SUV39H2	human	pred
CDY1B	Q9Y6F8	Q14839	CDY1	CHD4	human	pred
CDY1B	Q9Y6F8	Q9Y232	CDY1	CDYL	human	pred
CDY1B	Q9Y6F8	Q16777	CDY1	HIST2H2AC	human	exp
CDY1B	Q9Y6F8	Q9Y6F8	CDY1	CDY1	human	exp_pred
CDY1B	Q9Y6F8	O43463	CDY1	SUV39H1	human	pred
CDY1B	Q9Y6F8	P83916	CDY1	CBX1	human	pred
CDY2A	Q9Y6F7	Q9H5I1	CDY2A	SUV39H2	human	pred
CDY2A	Q9Y6F7	Q9Y6F8	CDY2A	CDY1	human	pred
CDY2A	Q9Y6F7	Q13619	CDY2A	CUL4A	human	exp
CDY2A	Q9Y6F7	Q13185	CDY2A	CBX3	human	pred
CDY2A	Q9Y6F7	Q14839	CDY2A	CHD4	human	pred
CDY2A	Q9Y6F7	Q92769	CDY2A	HDAC2	human	pred
CDY2A	Q9Y6F7	Q8N8U2	CDY2A	CDYL2	human	pred
CDY2A	Q9Y6F7	O95931	CDY2A	CBX7	human	pred
CDY2A	Q9Y6F7	P83916	CDY2A	CBX1	human	pred
CDY2A	Q9Y6F7	Q13547	CDY2A	HDAC1	human	pred
CDY2A	Q9Y6F7	Q12873	CDY2A	CHD3	human	pred
CDY2A	Q9Y6F7	Q8TDI0	CDY2A	CHD5	human	pred
CDY2A	Q9Y6F7	P45973	CDY2A	CBX5	human	pred
CDY2A	Q9Y6F7	O43463	CDY2A	SUV39H1	human	pred
CDY2A	Q9Y6F7	Q9UMN6	CDY2A	KMT2B	human	pred
CDY2A	Q9Y6F7	Q9Y6F7	CDY2A	CDY2A	human	pred
CDY2A	Q9Y6F7	P26358	CDY2A	DNMT1	human	pred
CDY2A	Q9Y6F7	P29374	CDY2A	ARID4A	human	pred
CDY2A	Q9Y6F7	Q14781	CDY2A	CBX2	human	pred
CDY2A	Q9Y6F7	Q9Y232	CDY2A	CDYL	human	pred
CDY2B	Q9Y6F7	Q9H5I1	CDY2A	SUV39H2	human	pred
CDY2B	Q9Y6F7	Q9Y6F8	CDY2A	CDY1	human	pred
CDY2B	Q9Y6F7	Q13619	CDY2A	CUL4A	human	exp
CDY2B	Q9Y6F7	Q13185	CDY2A	CBX3	human	pred
CDY2B	Q9Y6F7	Q14839	CDY2A	CHD4	human	pred
CDY2B	Q9Y6F7	Q92769	CDY2A	HDAC2	human	pred
CDY2B	Q9Y6F7	Q8N8U2	CDY2A	CDYL2	human	pred
CDY2B	Q9Y6F7	O95931	CDY2A	CBX7	human	pred
CDY2B	Q9Y6F7	P83916	CDY2A	CBX1	human	pred
CDY2B	Q9Y6F7	Q13547	CDY2A	HDAC1	human	pred
CDY2B	Q9Y6F7	Q12873	CDY2A	CHD3	human	pred
CDY2B	Q9Y6F7	Q8TDI0	CDY2A	CHD5	human	pred
CDY2B	Q9Y6F7	P45973	CDY2A	CBX5	human	pred
CDY2B	Q9Y6F7	O43463	CDY2A	SUV39H1	human	pred
CDY2B	Q9Y6F7	Q9UMN6	CDY2A	KMT2B	human	pred
CDY2B	Q9Y6F7	Q9Y6F7	CDY2A	CDY2A	human	pred
CDY2B	Q9Y6F7	P26358	CDY2A	DNMT1	human	pred
CDY2B	Q9Y6F7	P29374	CDY2A	ARID4A	human	pred
CDY2B	Q9Y6F7	Q14781	CDY2A	CBX2	human	pred
CDY2B	Q9Y6F7	Q9Y232	CDY2A	CDYL	human	pred
DAZ1	Q9NQZ3	Q96EP5	DAZ1	DAZAP1	human	exp_pred
DAZ1	Q9NQZ3	Q86YF9	DAZ1	DZIP1	human	exp_pred
DAZ1	Q9NQZ3	Q8IYY4	DAZ1	DZIP1L	human	exp
DAZ1	Q9NQZ3	Q8TB72	DAZ1	PUM2	human	exp_pred
DAZ1	Q9NQZ3	P63167	DAZ1	DYNLL1	human	exp_pred
DAZ1	Q9NQZ3	Q9NQZ3	DAZ1	DAZ1	human	exp
DAZ1	Q9NQZ3	Q96PU8	DAZ1	QKI	human	exp
DAZ1	Q9NQZ3	Q15038	DAZ1	DAZAP2	human	exp_pred
DAZ1	Q9NQZ3	Q8N9W6	DAZ1	BOLL	human	exp_pred
DAZ1	Q9NQZ3	Q86Y13	DAZ1	DZIP3	human	exp
DAZ1	Q9NQZ3	Q92904	DAZ1	DAZL	human	exp_pred
DAZ1	Q9NQZ3	Q8WY41	DAZ1	NANOS1	human	pred
DAZ1	Q9NQZ3	Q9NR90	DAZ1	DAZ3	human	pred
DAZ2	Q13117	Q6XE24	DAZ2	RBMS3	human	pred
DAZ2	Q13117	P57052	DAZ2	RBM11	human	pred
DAZ2	Q13117	Q15415	DAZ2	RBMY1F	human	pred
DAZ2	Q13117	P19338	DAZ2	NCL	human	pred
DAZ2	Q13117	Q96EP5	DAZ2	DAZAP1	human	pred
DAZ2	Q13117	Q8N9W6	DAZ2	BOLL	human	pred
DAZ2	Q13117	Q9HCJ3	DAZ2	RAVER2	human	pred
DAZ2	Q13117	Q5JQF8	DAZ2	PABPC1L2A	human	pred
DAZ2	Q13117	Q96T37	DAZ2	RBM15	human	pred
DAZ2	Q13117	Q04771	DAZ2	ACVR1	human	pred
DAZ2	Q13117	Q86SG3	DAZ2	DAZ4	human	pred
DAZ2	Q13117	Q9NTZ6	DAZ2	RBM12	human	pred
DAZ2	Q13117	P43243	DAZ2	MATR3	human	pred
DAZ2	Q13117	Q9Y2H6	DAZ2	FNDC3A	human	pred
DAZ2	Q13117	Q92904	DAZ2	DAZL	human	pred
DAZ2	Q13117	Q92879	DAZ2	CELF1	human	pred
DAZ2	Q13117	Q15414	DAZ2	-	human	pred
DAZ2	Q13117	Q96DU9	DAZ2	PABPC5	human	pred
DAZ2	Q13117	Q96H35	DAZ2	RBM18	human	pred
DAZ2	Q13117	Q9NR90	DAZ2	DAZ3	human	pred
DAZ2	Q13117	Q13117	DAZ2	DAZ2	human	pred
DAZ2	Q13117	Q9NQ86	DAZ2	TRIM36	human	pred
DAZ2	Q13117	O43719	DAZ2	HTATSF1	human	pred
DAZ2	Q13117	Q8IXT5	DAZ2	RBM12B	human	pred
DAZ2	Q13117	Q9BTD8	DAZ2	RBM42	human	pred
DAZ2	Q13117	Q8IYX4	DAZ2	DND1	human	pred
DAZ2	Q13117	Q13148	DAZ2	TARDBP	human	pred
DAZ2	Q13117	O95453	DAZ2	PARN	human	pred
DAZ2	Q13117	Q9Y388	DAZ2	RBMX2	human	pred
DAZ2	Q13117	Q9BZC1	DAZ2	CELF4	human	pred
DAZ3	Q9NR90	O95453	DAZ3	PARN	human	pred
DAZ3	Q9NR90	Q96T37	DAZ3	RBM15	human	pred
DAZ3	Q9NR90	Q9BTD8	DAZ3	RBM42	human	pred
DAZ3	Q9NR90	Q9NR90	DAZ3	DAZ3	human	pred
DAZ3	Q9NR90	Q6XE24	DAZ3	RBMS3	human	pred
DAZ3	Q9NR90	Q9HCJ3	DAZ3	RAVER2	human	pred
DAZ3	Q9NR90	Q96H35	DAZ3	RBM18	human	pred
DAZ3	Q9NR90	Q9Y388	DAZ3	RBMX2	human	pred
DAZ3	Q9NR90	Q9NTZ6	DAZ3	RBM12	human	pred
DAZ3	Q9NR90	Q9BZC1	DAZ3	CELF4	human	pred
DAZ3	Q9NR90	Q8N9W6	DAZ3	BOLL	human	pred
DAZ3	Q9NR90	Q8IYX4	DAZ3	DND1	human	pred
DAZ3	Q9NR90	P43243	DAZ3	MATR3	human	pred
DAZ3	Q9NR90	Q8IXT5	DAZ3	RBM12B	human	pred
DAZ3	Q9NR90	Q13148	DAZ3	TARDBP	human	pred
DAZ3	Q9NR90	P57052	DAZ3	RBM11	human	pred
DAZ3	Q9NR90	Q96DU9	DAZ3	PABPC5	human	pred
DAZ3	Q9NR90	Q04771	DAZ3	ACVR1	human	pred
DAZ3	Q9NR90	O43719	DAZ3	HTATSF1	human	pred
DAZ3	Q9NR90	Q92904	DAZ3	DAZL	human	pred
DAZ3	Q9NR90	Q92879	DAZ3	CELF1	human	pred
DAZ3	Q9NR90	Q5JQF8	DAZ3	PABPC1L2A	human	pred
DAZ3	Q9NR90	Q96EP5	DAZ3	DAZAP1	human	pred
DAZ3	Q9NR90	Q15414	DAZ3	-	human	pred
DAZ3	Q9NR90	Q8TB72	DAZ3	PUM2	human	exp
DAZ3	Q9NR90	P19338	DAZ3	NCL	human	pred
DAZ4	Q86SG3	Q86SG3	DAZ4	DAZ4	human	pred
DAZ4	Q86SG3	Q8IY67	DAZ4	RAVER1	human	pred
DAZ4	Q86SG3	O43719	DAZ4	HTATSF1	human	pred
DAZ4	Q86SG3	Q8IYX4	DAZ4	DND1	human	pred
DAZ4	Q86SG3	Q9HCJ3	DAZ4	RAVER2	human	pred
DAZ4	Q86SG3	Q96T37	DAZ4	RBM15	human	pred
DAZ4	Q86SG3	P43243	DAZ4	MATR3	human	pred
DAZ4	Q86SG3	Q96H35	DAZ4	RBM18	human	pred
DAZ4	Q86SG3	O95453	DAZ4	PARN	human	pred
DAZ4	Q86SG3	P57052	DAZ4	RBM11	human	pred
DAZ4	Q86SG3	Q92904	DAZ4	DAZL	human	exp_pred
DAZ4	Q86SG3	Q9BTD8	DAZ4	RBM42	human	pred
DAZ4	Q86SG3	Q9Y388	DAZ4	RBMX2	human	pred
DAZ4	Q86SG3	Q04771	DAZ4	ACVR1	human	pred
DAZ4	Q86SG3	Q8N9W6	DAZ4	BOLL	human	pred
DAZ4	Q86SG3	Q8TB72	DAZ4	PUM2	human	exp
DAZ4	Q86SG3	Q8IXT5	DAZ4	RBM12B	human	pred
DAZ4	Q86SG3	P19338	DAZ4	NCL	human	pred
DAZ4	Q86SG3	Q96PU8	DAZ4	QKI	human	exp
DAZ4	Q86SG3	Q13148	DAZ4	TARDBP	human	pred
DAZ4	Q86SG3	Q92879	DAZ4	CELF1	human	pred
DAZ4	Q86SG3	Q6XE24	DAZ4	RBMS3	human	pred
DAZ4	Q86SG3	Q9NTZ6	DAZ4	RBM12	human	pred
DAZ4	Q86SG3	Q86YF9	DAZ4	DZIP1	human	exp
DAZ4	Q86SG3	Q96DU9	DAZ4	PABPC5	human	pred
DAZ4	Q86SG3	Q9BZC1	DAZ4	CELF4	human	pred
DAZ4	Q86SG3	Q9NR90	DAZ4	DAZ3	human	pred
DAZ4	Q86SG3	Q5JQF8	DAZ4	PABPC1L2A	human	pred
DAZ4	Q86SG3	Q96EP5	DAZ4	DAZAP1	human	pred
DAZ4	Q86SG3	Q15414	DAZ4	-	human	pred
DDX3Y	O15523	Q13838	DDX3Y	DDX39B	human	pred
DDX3Y	O15523	O15523	DDX3Y	DDX3Y	human	exp
DDX3Y	O15523	P84022	DDX3Y	SMAD3	human	exp
DDX3Y	O15523	O75554	DDX3Y	WBP4	human	exp
DDX3Y	O15523	Q8NBT0	DDX3Y	POC1A	human	exp
DDX3Y	O15523	Q9BWH6	DDX3Y	RPAP1	human	exp
DDX3Y	O15523	P49736	DDX3Y	MCM2	human	exp
DDX3Y	O15523	Q9NVP1	DDX3Y	DDX18	human	pred
DDX3Y	O15523	O00213	DDX3Y	APBB1	human	exp
DDX3Y	O15523	O95067	DDX3Y	CCNB2	human	exp
DDX3Y	O15523	P40337	DDX3Y	VHL	human	exp
DDX3Y	O15523	Q15796	DDX3Y	SMAD2	human	exp
DDX3Y	O15523	Q49AN0	DDX3Y	CRY2	human	exp
DDX3Y	O15523	P02545	DDX3Y	LMNA	human	ortho
DDX3Y	O15523	Q969P0	DDX3Y	IGSF8	human	exp
DDX3Y	O15523	P01574	DDX3Y	IFNB1	human	pred
DDX3Y	O15523	P60842	DDX3Y	EIF4A1	human	pred
DDX3Y	O15523	Q8NFZ3	DDX3Y	NLGN4Y	human	pred
DDX3Y	O15523	P22090	DDX3Y	RPS4Y1	human	pred
DDX3Y	O15523	Q9Y2T4	DDX3Y	PPP2R2C	human	pred
DDX3Y	O15523	Q5BJF6	DDX3Y	ODF2	human	exp
DDX3Y	O15523	Q9NUX5	DDX3Y	POT1	human	exp
DDX3Y	O15523	Q8TEE9	DDX3Y	SAP25	human	exp
DDX3Y	O15523	Q9BY66	DDX3Y	KDM5D	human	pred
DDX3Y	O15523	P04278	DDX3Y	SHBG	human	exp
DDX3Y	O15523	P03372	DDX3Y	ESR1	human	exp
DDX3Y	O15523	P31946	DDX3Y	YWHAB	human	pred
DDX3Y	O15523	P06730	DDX3Y	EIF4E	human	pred
DDX3Y	O15523	P46934	DDX3Y	NEDD4	human	exp
DDX3Y	O15523	Q9Y333	DDX3Y	LSM2	human	pred
DDX3Y	O15523	Q8WVJ2	DDX3Y	NUDCD2	human	exp
DDX3Y	O15523	Q9BZA4	DDX3Y	-	human	pred
DDX3Y	O15523	Q9NRD1	DDX3Y	FBXO6	human	exp
DDX3Y	O15523	Q13526	DDX3Y	PIN1	human	exp
DDX3Y	O15523	Q14872	DDX3Y	MTF1	human	exp
DDX3Y	O15523	P08048	DDX3Y	ZFY	human	pred
DDX3Y	O15523	P12931	DDX3Y	SRC	human	exp
DDX3Y	O15523	Q9NZC7	DDX3Y	WWOX	human	exp
DDX3Y	O15523	P26196	DDX3Y	DDX6	human	pred
DDX3Y	O15523	Q9UHD2	DDX3Y	TBK1	human	pred
DDX3Y	O15523	P60033	DDX3Y	CD81	human	exp
DDX3Y	O15523	Q8IWL3	DDX3Y	HSCB	human	exp
EIF1AY	O14602	P48506	EIF1AY	GCLC	human	pred
EIF1AY	O14602	P78362	EIF1AY	SRPK2	human	exp
EIF1AY	O14602	O15523	EIF1AY	DDX3Y	human	pred
EIF1AY	O14602	P05198	EIF1AY	EIF2S1	human	pred
EIF1AY	O14602	P08048	EIF1AY	ZFY	human	pred
EIF1AY	O14602	P41235	EIF1AY	HNF4A	human	exp
EIF1AY	O14602	Q9Y2R5	EIF1AY	MRPS17	human	pred
EIF1AY	O14602	O43610	EIF1AY	SPRY3	human	pred
EIF1AY	O14602	Q8N4N3	EIF1AY	KLHL36	human	exp
EIF1AY	O14602	Q92905	EIF1AY	COPS5	human	pred
EIF1AY	O14602	Q14232	EIF1AY	EIF2B1	human	pred
EIF1AY	O14602	O15235	EIF1AY	MRPS12	human	pred
EIF1AY	O14602	O14607	EIF1AY	UTY	human	pred
EIF1AY	O14602	Q9GZV4	EIF1AY	EIF5A2	human	pred
EIF1AY	O14602	P51809	EIF1AY	VAMP7	human	pred
EIF1AY	O14602	Q8N9N8	EIF1AY	EIF1AD	human	pred
EIF1AY	O14602	P49770	EIF1AY	EIF2B2	human	exp
EIF1AY	O14602	P47813	EIF1AY	EIF1AX	human	exp_pred
EIF1AY	O14602	P54577	EIF1AY	YARS	human	pred
EIF1AY	O14602	P54253	EIF1AY	ATXN1	human	exp
EIF1AY	O14602	P14921	EIF1AY	ETS1	human	pred
EIF1AY	O14602	Q9BZA4	EIF1AY	-	human	pred
EIF1AY	O14602	P63241	EIF1AY	EIF5A	human	exp
EIF1AY	O14602	P62280	EIF1AY	RPS11	human	pred
EIF1AY	O14602	P62266	EIF1AY	RPS23	human	pred
EIF1AY	O14602	P14868	EIF1AY	DARS	human	pred
EIF1AY	O14602	Q12904	EIF1AY	AIMP1	human	pred
EIF1AY	O14602	P55317	EIF1AY	FOXA1	human	exp
EIF1AY	O14602	Q15029	EIF1AY	EFTUD2	human	pred
EIF1AY	O14602	Q9BY66	EIF1AY	KDM5D	human	pred
EIF1AY	O14602	Q5T653	EIF1AY	MRPL2	human	pred
EIF1AY	O14602	P55010	EIF1AY	EIF5	human	exp
EIF1AY	O14602	O43776	EIF1AY	NARS	human	pred
EIF1AY	O14602	Q7Z6Z7	EIF1AY	HUWE1	human	exp
EIF1AY	O14602	O60739	EIF1AY	EIF1B	human	pred
EIF1AY	O14602	O60841	EIF1AY	EIF5B	human	exp_pred
EIF1AY	O14602	P20042	EIF1AY	EIF2S2	human	pred
EIF1AY	O14602	P00533	EIF1AY	EGFR	human	exp
EIF1AY	O14602	P22090	EIF1AY	RPS4Y1	human	pred
EIF1AY	O14602	Q13618	EIF1AY	CUL3	human	exp
HSFY1	Q96LI6	Q9BQY4	HSFY1	RHOXF2	human	pred
HSFY1	Q96LI6	Q9H081	HSFY1	MIS12	human	exp
HSFY1	Q96LI6	P55008	HSFY1	AIF1	human	exp
HSFY1	Q96LI6	Q9NWB1	HSFY1	RBFOX1	human	exp
HSFY1	Q96LI6	A0AV96	HSFY1	RBM47	human	exp
HSFY1	Q96LI6	Q9BZA7	HSFY1	PCDH11X	human	pred
HSFY1	Q96LI6	Q93062	HSFY1	RBPMS	human	exp
HSFY1	Q96LI6	A5A3E0	HSFY1	POTEF	human	exp
HSFY1	Q96LI6	Q96LI6	HSFY1	HSFY1	human	exp
HSFY1	Q96LI6	P35813	HSFY1	PPM1A	human	exp
HSFY1	Q96LI6	O75603	HSFY1	GCM2	human	exp
HSFY1	Q96LI6	Q13748	HSFY1	TUBA3C	human	exp
HSFY1	Q96LI6	Q12824	HSFY1	SMARCB1	human	exp
HSFY1	Q96LI6	Q06609	HSFY1	RAD51	human	exp
HSFY1	Q96LI6	P12236	HSFY1	SLC25A6	human	pred
HSFY1	Q96LI6	Q96AV8	HSFY1	E2F7	human	exp
HSFY1	Q96LI6	O14964	HSFY1	HGS	human	exp
HSFY1	Q96LI6	Q12873	HSFY1	CHD3	human	exp
HSFY1	Q96LI6	O60248	HSFY1	SOX15	human	exp
HSFY1	Q96LI6	O96006	HSFY1	ZBED1	human	pred
HSFY1	Q96LI6	O60674	HSFY1	JAK2	human	exp
HSFY1	Q96LI6	O95947	HSFY1	TBX6	human	exp
HSFY1	Q96LI6	Q9GZN2	HSFY1	TGIF2	human	pred
HSFY1	Q96LI6	Q8WVV4	HSFY1	POF1B	human	pred
HSFY1	Q96LI6	Q2TAL8	HSFY1	QRICH1	human	exp
HSFY1	Q96LI6	P52597	HSFY1	HNRNPF	human	exp
HSFY1	Q96LI6	Q8IZX4	HSFY1	TAF1L	human	pred
HSFY1	Q96LI6	Q9NQL9	HSFY1	DMRT3	human	pred
HSFY1	Q96LI6	Q15276	HSFY1	RABEP1	human	exp
HSFY1	Q96LI6	Q8N9N5	HSFY1	BANP	human	exp
HSFY1	Q96LI6	P28331	HSFY1	NDUFS1	human	exp
HSFY1	Q96LI6	P09884	HSFY1	POLA1	human	pred
HSFY1	Q96LI6	Q9UPW6	HSFY1	SATB2	human	exp
HSFY1	Q96LI6	Q7L1I2	HSFY1	SV2B	human	exp
HSFY1	Q96LI6	Q9UHL0	HSFY1	DDX25	human	pred
HSFY1	Q96LI6	Q14839	HSFY1	CHD4	human	exp
HSFY1	Q96LI6	Q9Y232	HSFY1	CDYL	human	pred
HSFY1	Q96LI6	Q9H320	HSFY1	VCX	human	pred
HSFY2	Q96LI6	Q9BQY4	HSFY1	RHOXF2	human	pred
HSFY2	Q96LI6	Q9H081	HSFY1	MIS12	human	exp
HSFY2	Q96LI6	P55008	HSFY1	AIF1	human	exp
HSFY2	Q96LI6	Q9NWB1	HSFY1	RBFOX1	human	exp
HSFY2	Q96LI6	A0AV96	HSFY1	RBM47	human	exp
HSFY2	Q96LI6	Q9BZA7	HSFY1	PCDH11X	human	pred
HSFY2	Q96LI6	Q93062	HSFY1	RBPMS	human	exp
HSFY2	Q96LI6	A5A3E0	HSFY1	POTEF	human	exp
HSFY2	Q96LI6	Q96LI6	HSFY1	HSFY1	human	exp
HSFY2	Q96LI6	P35813	HSFY1	PPM1A	human	exp
HSFY2	Q96LI6	O75603	HSFY1	GCM2	human	exp
HSFY2	Q96LI6	Q13748	HSFY1	TUBA3C	human	exp
HSFY2	Q96LI6	Q12824	HSFY1	SMARCB1	human	exp
HSFY2	Q96LI6	Q06609	HSFY1	RAD51	human	exp
HSFY2	Q96LI6	P12236	HSFY1	SLC25A6	human	pred
HSFY2	Q96LI6	Q96AV8	HSFY1	E2F7	human	exp
HSFY2	Q96LI6	O14964	HSFY1	HGS	human	exp
HSFY2	Q96LI6	Q12873	HSFY1	CHD3	human	exp
HSFY2	Q96LI6	O60248	HSFY1	SOX15	human	exp
HSFY2	Q96LI6	O96006	HSFY1	ZBED1	human	pred
HSFY2	Q96LI6	O60674	HSFY1	JAK2	human	exp
HSFY2	Q96LI6	O95947	HSFY1	TBX6	human	exp
HSFY2	Q96LI6	Q9GZN2	HSFY1	TGIF2	human	pred
HSFY2	Q96LI6	Q8WVV4	HSFY1	POF1B	human	pred
HSFY2	Q96LI6	Q2TAL8	HSFY1	QRICH1	human	exp
HSFY2	Q96LI6	P52597	HSFY1	HNRNPF	human	exp
HSFY2	Q96LI6	Q8IZX4	HSFY1	TAF1L	human	pred
HSFY2	Q96LI6	Q9NQL9	HSFY1	DMRT3	human	pred
HSFY2	Q96LI6	Q15276	HSFY1	RABEP1	human	exp
HSFY2	Q96LI6	Q8N9N5	HSFY1	BANP	human	exp
HSFY2	Q96LI6	P28331	HSFY1	NDUFS1	human	exp
HSFY2	Q96LI6	P09884	HSFY1	POLA1	human	pred
HSFY2	Q96LI6	Q9UPW6	HSFY1	SATB2	human	exp
HSFY2	Q96LI6	Q7L1I2	HSFY1	SV2B	human	exp
HSFY2	Q96LI6	Q9UHL0	HSFY1	DDX25	human	pred
HSFY2	Q96LI6	Q14839	HSFY1	CHD4	human	exp
HSFY2	Q96LI6	Q9Y232	HSFY1	CDYL	human	pred
HSFY2	Q96LI6	Q9H320	HSFY1	VCX	human	pred
KDM5D	Q9BY66	P06400	KDM5D	RB1	human	pred
KDM5D	Q9BY66	Q04727	KDM5D	TLE4	human	pred
KDM5D	Q9BY66	Q9BZA4	KDM5D	-	human	pred
KDM5D	Q9BY66	Q8IZX4	KDM5D	TAF1L	human	pred
