Pathway Name	Pathway Id	Source Name	Organism	Pathway uploaded gene count	Genes in InnateDB for this entity	Pathway p-value	Pathway p-value (corrected)	Gene Symbols	Genes (Symbol|IDBG-ID|Ensembl|Entrez|Fold Change|P-Value)
cytoplasm	GO:0005737	cellular component	9606	12	4897	0.019880132437327027	0.08257901166274305	DAZ1; DAZ2; DAZ3; DAZ4; DDX3Y; SRY; TMSB4Y; TSPY1; TSPY2; TSPY4; TSPY8; USP9Y; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; DAZ3|IDBG-791|ENSG00000187191|1617,57054,57135|; DAZ4|IDBG-841|ENSG00000205916|1617,57055,57135|; DDX3Y|IDBG-198|ENSG00000067048|8653|; SRY|IDBG-1|ENSG00000184895|6736|; TMSB4Y|IDBG-220|ENSG00000154620|9087|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; TSPY2|IDBG-33|ENSG00000168757|64591|; TSPY4|IDBG-297318|ENSG00000233803|728395|; TSPY8|IDBG-298311|ENSG00000229549|728403|; USP9Y|IDBG-191|ENSG00000114374|8287|; 
neuron cell-cell adhesion	GO:0007158	biological process	9606	1	16	0.021719543414833956	0.08687817365933583	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
translational initiation	GO:0006413	biological process	9606	2	146	0.016950712375437008	0.08717509221653319	EIF1AY; RPS4Y1; 	EIF1AY|IDBG-384|ENSG00000198692|9086|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
male sex determination	GO:0030238	biological process	9606	1	12	0.01633257772628382	0.08819591972193262	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
biomineral tissue development	GO:0031214	biological process	9606	1	23	0.03107854827307331	0.1198744004818542	AMELY; 	AMELY|IDBG-58|ENSG00000099721|266|; 
polysome	GO:0005844	cellular component	9606	1	29	0.03903197610056686	0.14051511396204072	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
rRNA binding	GO:0019843	molecular function	9606	1	29	0.03903197610056686	0.14051511396204072	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
regulation of alternative mRNA splicing, via spliceosome	GO:0000381	biological process	9606	1	31	0.04166914071554954	0.14516990958965645	RBMY1A1; 	RBMY1A1|IDBG-298183|ENSG00000234414|5940|; 
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	GO:0016706	molecular function	9606	1	35	0.04692260907923029	0.15836380564240224	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
synapse assembly	GO:0007416	biological process	9606	1	42	0.05604961682985357	0.17295310336069103	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
cytosolic small ribosomal subunit	GO:0022627	cellular component	9606	1	41	0.05475092331885584	0.17391469760107148	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
social behavior	GO:0035176	biological process	9606	1	40	0.053450511868236884	0.17492894793241162	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
cell adhesion molecule binding	GO:0050839	molecular function	9606	1	48	0.06380582299538869	0.18624402387843184	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
protein deubiquitination	GO:0016579	biological process	9606	1	47	0.06251739145792663	0.1875521743737799	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
ATP-dependent helicase activity	GO:0008026	molecular function	9606	1	52	0.06894254330839414	0.19594196519227808	DDX3Y; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; 
translation initiation factor activity	GO:0003743	molecular function	9606	1	56	0.07405215768965998	0.19994082576208194	EIF1AY; 	EIF1AY|IDBG-384|ENSG00000198692|9086|; 
learning	GO:0007612	biological process	9606	1	55	0.07277728775350514	0.2015371045481681	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity	GO:0003705	molecular function	9606	1	67	0.08796495120129662	0.22093522627302406	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
single fertilization	GO:0007338	biological process	9606	1	67	0.08796495120129662	0.22093522627302406	DAZ2; 	DAZ2|IDBG-652|ENSG00000205944|57054,57055,57135|; 
ubiquitin-specific protease activity	GO:0004843	molecular function	9606	1	70	0.09172432573173382	0.22514152679607394	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
BMP signaling pathway	GO:0030509	biological process	9606	1	66	0.0867085048875021	0.22840289092317628	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
mRNA binding	GO:0003729	molecular function	9606	1	82	0.10661336635744992	0.25030964275227374	RBMY1A1; 	RBMY1A1|IDBG-298183|ENSG00000234414|5940|; 
ubiquitinyl hydrolase activity	GO:0036459	molecular function	9606	1	81	0.10538163168838238	0.2529159160521177	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
viral transcription	GO:0019083	biological process	9606	1	85	0.11029879419103847	0.25345254835387565	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
cysteine-type peptidase activity	GO:0008234	molecular function	9606	1	93	0.12005527332738343	0.2646116228440288	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
translational termination	GO:0006415	biological process	9606	1	92	0.11884136327343188	0.2673930673652217	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
male gonad development	GO:0008584	biological process	9606	1	97	0.12489485316947212	0.26977288284605977	RBMY1B; 	RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; 
translational elongation	GO:0006414	biological process	9606	1	103	0.13210626595872685	0.27975444555965684	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
SRP-dependent cotranslational protein targeting to membrane	GO:0006614	biological process	9606	1	114	0.14517904867236692	0.29035809734473383	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
viral life cycle	GO:0019058	biological process	9606	1	120	0.1522296385316196	0.2935857314538378	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
cytoskeleton organization	GO:0007010	biological process	9606	1	125	0.15806238416576135	0.294323060170728	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
DNA binding	GO:0003677	molecular function	9606	5	2108	0.15542045399350676	0.29448086019822334	DDX3Y; KDM5D; SRY; TGIF2LY; ZFY; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; KDM5D|IDBG-354|ENSG00000012817|8284|; SRY|IDBG-1|ENSG00000184895|6736|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; ZFY|IDBG-11|ENSG00000067646|7544|; 
cellular_component	GO:0005575	cellular component	9606	2	491	0.1449275323739841	0.2953240282337789	KDM5D; TSPY1; 	KDM5D|IDBG-354|ENSG00000012817|8284|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
transforming growth factor beta receptor signaling pathway	GO:0007179	biological process	9606	1	128	0.16154348943573157	0.295706726424729	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184	biological process	9606	1	119	0.15105843612312375	0.29662383820540666	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
postsynaptic density	GO:0014069	cellular component	9606	1	113	0.14399848218058145	0.2990737706827461	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
homophilic cell adhesion	GO:0007156	biological process	9606	1	143	0.17874244392488103	0.32173639906478585	PCDH11Y; 	PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; 
actin cytoskeleton organization	GO:0030036	biological process	9606	1	151	0.18777599157568162	0.33245585393727234	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
nuclear speck	GO:0016607	cellular component	9606	1	178	0.21756418999728316	0.36149126953394745	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
ribosome	GO:0005840	cellular component	9606	1	178	0.21756418999728316	0.36149126953394745	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
calmodulin binding	GO:0005516	molecular function	9606	1	172	0.2110367800622833	0.36177733724962846	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
structural constituent of ribosome	GO:0003735	molecular function	9606	1	169	0.20775347149247714	0.36189314389012145	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
postsynaptic membrane	GO:0045211	cellular component	9606	1	193	0.2336563301595248	0.37664005458550265	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
ubiquitin-dependent protein catabolic process	GO:0006511	biological process	9606	1	192	0.23259349689689007	0.3806075403767292	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
oxidation-reduction process	GO:0055114	biological process	9606	2	693	0.24546756903521733	0.3898602567029922	KDM5D; UTY; 	KDM5D|IDBG-354|ENSG00000012817|8284|; UTY|IDBG-205|ENSG00000183878|7404|; 
synapse	GO:0045202	cellular component	9606	1	213	0.2546181448649557	0.3985327484842785	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
mRNA metabolic process	GO:0016071	biological process	9606	1	228	0.26997655311104607	0.41653525337132824	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
extracellular matrix	GO:0031012	cellular component	9606	1	236	0.27804281516576235	0.42293836673101876	AMELY; 	AMELY|IDBG-58|ENSG00000099721|266|; 
proteinaceous extracellular matrix	GO:0005578	cellular component	9606	1	243	0.2850304347844166	0.4275456521766249	AMELY; 	AMELY|IDBG-58|ENSG00000099721|266|; 
RNA metabolic process	GO:0016070	biological process	9606	1	254	0.2958797678568871	0.43182452606140276	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
receptor activity	GO:0004872	molecular function	9606	1	250	0.2919530001805637	0.43193046602055996	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
translation	GO:0006412	biological process	9606	1	274	0.3152015778629434	0.4479180316999722	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
transcription factor binding	GO:0008134	molecular function	9606	1	270	0.31137846471528424	0.4483849891900093	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
ATP catabolic process	GO:0006200	biological process	9606	1	287	0.3274862575024577	0.4593313741592913	DDX3Y; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; 
hydrolase activity	GO:0016787	molecular function	9606	1	314	0.35232707794930646	0.48783749254519354	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
actin binding	GO:0003779	molecular function	9606	1	329	0.36574380833218767	0.5000041936693198	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
cell proliferation	GO:0008283	biological process	9606	1	370	0.401066638415785	0.5414399618613098	TSPY1; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
binding	GO:0005488	molecular function	9606	1	389	0.41678693283073276	0.5423251656110739	USP9Y; 	USP9Y|IDBG-191|ENSG00000114374|8287|; 
regulation of transcription from RNA polymerase II promoter	GO:0006357	biological process	9606	1	385	0.4135107284311852	0.5446238862264391	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
cytoskeleton	GO:0005856	cellular component	9606	1	380	0.4093905822115147	0.5458541096153529	TMSB4Y; 	TMSB4Y|IDBG-220|ENSG00000154620|9087|; 
cell junction	GO:0030054	cellular component	9606	1	407	0.4313133447962364	0.5545457290237326	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
sequence-specific DNA binding transcription factor activity	GO:0003700	molecular function	9606	2	1104	0.45191933998612743	0.5675266130058344	SRY; TGIF2LY; 	SRY|IDBG-1|ENSG00000184895|6736|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; 
cell surface	GO:0009986	cellular component	9606	1	432	0.4509129421172879	0.5729246793960834	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
cell adhesion	GO:0007155	biological process	9606	1	462	0.4735757971715082	0.5878871964887689	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
transcription from RNA polymerase II promoter	GO:0006366	biological process	9606	1	478	0.4852920902647155	0.5955857471430599	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
transcription, DNA-templated	GO:0006351	biological process	9606	3	1938	0.5046278859014492	0.6123574345770396	TBL1Y; TGIF2LY; ZFY; 	TBL1Y|IDBG-67|ENSG00000092377|90665|; TGIF2LY|IDBG-16|ENSG00000176679|90655|; ZFY|IDBG-11|ENSG00000067646|7544|; 
viral process	GO:0016032	biological process	9606	1	545	0.5316873957391752	0.6310136125256146	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
cellular protein metabolic process	GO:0044267	biological process	9606	1	538	0.5270349824455867	0.632441978934704	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
positive regulation of transcription, DNA-templated	GO:0045893	biological process	9606	1	563	0.5434495684931375	0.6379625369267267	SRY; 	SRY|IDBG-1|ENSG00000184895|6736|; 
intracellular	GO:0005622	cellular component	9606	2	1372	0.5704653260132349	0.6624758624669824	KDM5D; RPS4Y1; 	KDM5D|IDBG-354|ENSG00000012817|8284|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
sequence-specific DNA binding	GO:0043565	molecular function	9606	1	629	0.5841946762469918	0.6712023939859055	TGIF2LY; 	TGIF2LY|IDBG-16|ENSG00000176679|90655|; 
gene expression	GO:0010467	biological process	9606	1	680	0.6132609471158045	0.6971808661948092	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
molecular_function	GO:0003674	molecular function	9606	1	724	0.6367588537068304	0.708968620622038	TSPY1; 	TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; 
calcium ion binding	GO:0005509	molecular function	9606	1	718	0.633637401557966	0.7128420767527117	PCDH11Y; 	PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; 
membrane	GO:0016020	cellular component	9606	4	3199	0.6607449807664755	0.7281679379875443	DDX3Y; NLGN4Y; PCDH11Y; RPS4Y1; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; NLGN4Y|IDBG-238|ENSG00000165246|22829|; PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
regulation of transcription, DNA-templated	GO:0006355	biological process	9606	2	1898	0.7493506759406269	0.817473464662502	TGIF2LY; ZFY; 	TGIF2LY|IDBG-16|ENSG00000176679|90655|; ZFY|IDBG-11|ENSG00000067646|7544|; 
integral component of plasma membrane	GO:0005887	cellular component	9606	1	1063	0.7770415079908084	0.8392048286300732	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
zinc ion binding	GO:0008270	molecular function	9606	1	1223	0.8234858916604253	0.8634609349449119	KDM5D; 	KDM5D|IDBG-354|ENSG00000012817|8284|; 
metabolic process	GO:0008152	biological process	9606	1	1195	0.8160930483361138	0.86409852176765	NLGN4Y; 	NLGN4Y|IDBG-238|ENSG00000165246|22829|; 
metal ion binding	GO:0046872	molecular function	9606	2	2146	0.8099785862608606	0.8661157160017123	UTY; ZFY; 	UTY|IDBG-205|ENSG00000183878|7404|; ZFY|IDBG-11|ENSG00000067646|7544|; 
ATP binding	GO:0005524	molecular function	9606	1	1493	0.8815602272790566	0.9154663898667127	DDX3Y; 	DDX3Y|IDBG-198|ENSG00000067048|8653|; 
protein binding	GO:0005515	molecular function	9606	9	9632	0.9684833991216675	0.9961543533822864	DAZ1; EIF1AY; KDM5D; NLGN4Y; RBMY1A1; RBMY1B; TBL1Y; TSPY1; UTY; 	DAZ1|IDBG-601|ENSG00000188120|1617,57135|; EIF1AY|IDBG-384|ENSG00000198692|9086|; KDM5D|IDBG-354|ENSG00000012817|8284|; NLGN4Y|IDBG-238|ENSG00000165246|22829|; RBMY1A1|IDBG-298183|ENSG00000234414|5940|; RBMY1B|IDBG-401961|ENSG00000242875|378948,378949|; TBL1Y|IDBG-67|ENSG00000092377|90665|; TSPY1|IDBG-545238|ENSG00000258992|100289087,7258,728137,728403|; UTY|IDBG-205|ENSG00000183878|7404|; 
cytosol	GO:0005829	cellular component	9606	1	2642	0.979824714391629	0.9983119731537352	RPS4Y1; 	RPS4Y1|IDBG-6|ENSG00000129824|6192|; 
integral component of membrane	GO:0016021	cellular component	9606	1	4468	0.9990792082002682	0.9990792082002682	PCDH11Y; 	PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; 
plasma membrane	GO:0005886	cellular component	9606	1	3645	0.9961258060240242	1.0	PCDH11Y; 	PCDH11Y|IDBG-21|ENSG00000099715|27328,83259|; 
