Query Symbol	Partner Symbol
RBMY1A1	RBMX
RBMY1F	RBM10
RBMY1F	C17orf113
RBMY1F	DAAM2
RBMY1F	APOBEC3C
RBMY1F	CLK3
RBMY1F	PRR3
RBMY1F	PCDHB14
RBMY1F	RASD1
RBMY1F	CIRBP
RBMY1F	RBMY1F
RBMY1F	ZNF385C
RBMY1F	YTHDC1
RBMY1F	PRPF31
RBMY1F	HNRNPK
RBMY1F	FAM103A1
RBMY1F	RBM3
RBMY1F	CBX2
RBMY1F	AEN
RBMY1F	RBMX
RPS4Y1	CALM3
RPS4Y1	RNF2
RPS4Y1	LRRK2
RPS4Y1	CD81
RPS4Y1	CYLD
RPS4Y1	ZNF746
RPS4Y1	ICAM1
RPS4Y1	HTR7
RPS4Y1	IGSF8
RPS4Y1	CLK1
RPS4Y1	ESR2
RPS4Y1	PRPS1
RPS4Y1	RPS4Y2
RPS4Y2	CSNK1E
RPS4Y2	ZNF746
SRY	SP1
SRY	KPNB1
SRY	HDAC3
SRY	SLC9A3R2
SRY	AR
SRY	EP300
SRY	SMAD3
SRY	ZNF208
SRY	WDR5
TBL1Y	CCT7
TBL1Y	FOXK2
TBL1Y	NCOR1
TBL1Y	TCP1
TBL1Y	CCT5
TBL1Y	INTS6
TBL1Y	DNAJB1
TBL1Y	TUBB8
TBL1Y	TUBA4A
TBL1Y	TAB1
TBL1Y	CAPN15
TBL1Y	DNAJB4
TBL1Y	CCT3
TBL1Y	MAP3K7
TBL1Y	NUDC
TBL1Y	CCT4
TBL1Y	GPS2
TBL1Y	LRIF1
TBL1Y	HDAC3
TBL1Y	SUZ12
TBL1Y	CHD8
TBL1Y	TBL1XR1
TBL1Y	WDR36
TBL1Y	TAB2
TBL1Y	CCT6B
TBL1Y	TBL1X
TBL1Y	CCT6A
TBL1Y	CCT2
TBL1Y	NCOR2
TBL1Y	cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18
TGIF2LY	DPYSL5
TGIF2LY	OGFR
TGIF2LY	LRP6
TGIF2LY	AHCYL1
TGIF2LY	PDCD4
TGIF2LY	NAB2
TGIF2LY	EIF2AK3
TGIF2LY	DPYSL2
TGIF2LY	LRP5
TGIF2LY	RALB
TGIF2LY	DCAF16
TGIF2LY	MBIP
TGIF2LY	YWHAQ
TGIF2LY	PBK
TGIF2LY	KLHL24
TGIF2LY	TGIF2LX
TGIF2LY	PCBD2
TGIF2LY	AHCYL2
TGIF2LY	IRGQ
TGIF2LY	CRBN
TGIF2LY	PGP
TGIF2LY	THNSL1
TGIF2LY	GMNN
TGIF2LY	ANKHD1
TGIF2LY	ARIH1
TGIF2LY	UBXN7
TGIF2LY	ANKRD17
TGIF2LY	YWHAZ
TMSB4Y	TERF2IP
TMSB4Y	EWSR1
TMSB4Y	POT1
TMSB4Y	TERF1
TMSB4Y	ACTG1
TMSB4Y	ACTA1
TSPY1	CSNK2A1
TSPY1	TSPY1
TSPY1	HIST2H2AC
TSPY1	AR
TSPY1	HIST2H2BE
TSPY1	EEF1A1
TSPY1	EEF1A2
TSPY2	APP
USP9Y	ZNF331
USP9Y	UBC
USP9Y	SHC1
USP9Y	SIRT1
USP9Y	PMS1
USP9Y	VSX1
USP9Y	NCKIPSD
USP9Y	ABRAXAS2
USP9Y	CLK3
USP9Y	MAPT
USP9Y	HS2ST1
USP9Y	AKT2
USP9Y	CSNK1E
UTY	PRDX2
UTY	PCNA
UTY	NCOA6
UTY	TLE2
UTY	TLE1
UTY	KIF1C
VCY	APP
ZFY	RNF2
ZFY	ZBTB9
ZFY	ZFX
ZFY	CACNB3
ZFY	L3MBTL2
ZFY	NSD1
MAP3K7	SMAD3
YWHAQ	CCT4
MCM2	CHD3
CCT6A	CRBN
WBP4	WBP4
APP	PCBD2
TBL1XR1	TAB2
SP1	UBC
HNRNPK	HUWE1
VHL	CCT2
EP300	HIST2H2AC
UBC	PMS1
EGFR	CIRBP
FBXO6	ARIH1
ACTA1	EP300
TCP1	CCT4
TUBA4A	DPYSL2
RAD51	CHD3
CCT5	CCT4
TERF1	TERF1
APP	APP
EEF1A1	LRRK2
UBC	HNRNPF
HIST1H4A	SUZ12
TERF1	EP300
ATXN1	QKI
ACTA1	UBE3A
VHL	CCT7
CUL3	ARIH1
VHL	TLE1
ESR1	WDR36
HIST1H4A	CUL4A
SRPK2	YTHDC1
PCNA	EP300
APP	CIRBP
UBC	CUL4A
ACTG1	RNF2
RBMX	RBMX
KPNB1	HUWE1
WBP4	EWSR1
ESR1	UBE3A
CD81	EEF1A1
ESR1	RAD51
HSCB	CYLD
GMNN	CSNK2A1
EWSR1	MBIP
NEDD4	SMAD2
ACTG1	TAB2
EIF1AX	EIF5A
ESR1	DNAJB1
GPS2	NCOR2
ICAM1	TUBB8
LRIF1	LRIF1
AR	NCOA6
ESR1	NSD1
CBX2	CBX2
ESR1	SIRT1
RBPMS	FAM103A1
DAZL	DAZAP1
EEF1A2	CUL4A
DAZAP2	DAZAP2
SP1	SMAD2
TCP1	CYLD
RBMX	CYLD
ESR1	HNRNPF
EEF1A2	ESR2
SHC1	CCT5
FOXA1	DAZAP1
MAP3K7	CYLD
RBMX	APOBEC3C
SMAD3	SMAD2
YWHAE	KPNB1
NCOR1	FOXK2
APBB1	APP
EGFR	SRC
YWHAQ	EIF5
EIF2AK3	EIF2AK3
RNF2	RNF2
CCT5	PCGF6
LNX1	PBK
EIF5B	EIF5
UBE3A	ZNF746
NEDD4	DAZAP2
HIST2H2BE	HUWE1
CALM3	RALB
YWHAE	TRA2B
ESR1	SRSF3
EEF1A2	CRY2
EGFR	HIST1H4A
CSNK1E	CRY2
ACTA1	SMARCB1
UBC	SMAD2
CUL3	CUL3
EGFR	EIF2B2
CRBN	CRBN
CCT3	HUWE1
SRPK2	APOBEC3C
RBMX	FBXO6
DPYSL2	DPYSL2
ESR1	NCOR2
PCNA	PCNA
QKI	RBFOX1
CCT6A	CUL3
JAK2	RBMX
AR	NCOR2
HNRNPK	HNRNPK
CCT3	EIF2B2
PRIM1	PRIM2
FOXK2	NCOR2
UBC	CALM3
EEF1A1	FBXO6
KPNB1	SMAD2
UBC	VHL
RBFOX1	RBFOX1
SHC1	E2F7
TBL1X	HIST2H2BE
CCT2	CRY2
EGFR	HNRNPF
DYNLL1	DAZAP1
EGFR	CYLD
HGS	APP
YWHAQ	RABEP1
NCOR1	TAB2
TERF1	CHD8
ESR1	SP1
CALM3	ESR2
YWHAQ	YWHAZ
PCNA	CUL4A
SHC1	SHC1
MAP3K7	HIST1H4A
CCT4	ACTA1
SMAD2	SMAD2
TAB1	TAB2
EIF5	CSNK2A1
KHDRBS3	PRPF31
YWHAQ	FBXO6
POTEF	POC1A
CCT4	FBXO6
NCOR1	CSNK2A1
PCGF6	PCGF6
WDR5	L3MBTL2
SMAD3	EP300
YWHAZ	TUBA3C
IGF2BP1	IGF2BP1
HIST1H4A	TUBA3C
EIF1AX	EIF2B2
CUL3	HUWE1
HNRNPK	YWHAZ
UBC	CCT5
EEF1A2	IGSF8
CD81	PDCD4
FOXA1	EIF5A
TAB1	CYLD
EGFR	YWHAZ
EIF5B	CSNK2A1
EGFR	EEF1A1
SMAD3	PIN1
CCT6A	CCT6B
CCT6A	CCT5
YWHAE	TAB2
AR	SUZ12
CALM3	CALM3
CD81	SRSF3
WDR5	CSNK2A1
KPNB1	FBXO6
PPM1A	SMAD2
MCM2	HIST2H2AC
CCT3	LRRK2
PRDX2	PRDX2
PDCD4	PDCD4
SMARCB1	CUL3
CCT5	WDR5
HNF4A	SMAD3
CALM3	UBE3A
TBX6	RBPMS
EGFR	YWHAQ
LRP6	LRP6
FOXA1	CHD4
IGSF8	FBXO6
MAP3K7	TAB2
AR	SRC
SP1	SMAD3
CSNK1E	AHCYL2
CCT2	PCGF6
EGFR	PPM1A
RPAP1	TERF2IP
PRPF31	ESR2
MCM2	HIST3H3
UBC	YWHAZ
TCP1	CCT7
HNRNPK	HIST3H3
HIST1H4A	ESR2
VHL	SIRT1
EEF1A1	NLGN3
HDAC3	TCP1
DNAJB1	HUWE1
ESR1	CUL3
CUL3	IGF2BP1
YWHAQ	CRY2
AR	CHD8
JAK2	SHC1
DNAJB1	DPYSL2
RBMX	RBM3
PIN1	PIN1
HNRNPF	CUL3
HIST1H4A	NSD1
SUZ12	HIST3H3
HDAC3	WWOX
HDAC3	ESR1
CCT6A	CCT2
QKI	QKI
SP1	ESR2
RBMX	CLK1
NEDD4	SMAD3
ESR1	AR
KPNB1	LRRK2
HDAC3	GPS2
KHDRBS3	SRSF9
WDR5	CCT7
EEF1A1	EP300
BOLL	RBPMS
TBL1X	TBL1X
SMAD3	ESR2
AR	SMAD3
EGFR	TUBA4A
EIF5	YWHAE
HDAC3	SP1
NCOR1	EP300
WBP4	PRPF31
NCOR1	SP1
HIST3H3	L3MBTL2
HNRNPF	CYLD
MAP1S	NLGN3
PRDX2	YWHAZ
MTF1	IGF2BP1
ESR1	TBL1XR1
LRRK2	LRRK2
NCOR1	ATXN1
YWHAQ	EEF1A1
YWHAQ	ACTG1
CHD4	RNF2
cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18	HNRNPK
JAK2	JAK2
ESR2	ESR2
DNAJB1	FOXA1
MCM2	TERF1
HDAC3	CCT2
HDAC3	YWHAQ
CCT3	IGSF8
ATXN1	DZIP3
CUL3	KPNB1
CCT6A	WWOX
EEF1A2	MTF1
TERF1	YWHAZ
PCNA	LRRK2
UBC	CCT4
SP1	PIN1
TCP1	CCT6A
EGFR	PCNA
UBC	UBE3A
CCNB2	PCNA
CSNK1E	LRRK2
CCT3	CCT7
PGP	RNF2
RBMX	CRBN
EIF2B2	IGSF8
CCT3	TUBA3C
ESR1	HIST2H2AC
YWHAZ	CYLD
HDAC3	HIST1H4A
WBP4	HTR7
WWOX	IGF2BP1
MCM2	TUBA4A
UBXN7	APP
HIST3H3	HIST3H3
HIST1H4A	EP300
AHCYL1	CCT5
TCP1	WDR5
UBC	CHD4
PCNA	HSCB
PRIM2	HSCB
PCNA	HUWE1
NCOR1	NCOR2
HNRNPK	CIRBP
CSNK2A1	PDCD4
HSCB	OGFR
YWHAQ	CSNK2A1
CHD4	CHD4
AR	UBE3A
DAZAP1	WWOX
ICAM1	ICAM1
APP	ODF2
GMNN	GMNN
HDAC3	EP300
JAK2	HIST3H3
CUL3	KLHL36
MCM2	CCT4
NCOR1	HIST1H4A
VHL	EIF5A
HNRNPF	CUL4A
SRPK2	MAP1S
HNF4A	GPS2
HIST1H4A	HIST2H2AC
WDR5	RNF2
CSNK2A1	RNF2
CCT6A	MCM2
E2F7	E2F7
CD81	TUBA3C
UBC	CHD3
WDR5	SRPK2
ESR1	ESR2
CALM3	MAPT
KPNB1	CHD8
RNF2	TBL1XR1
ACTG1	SRPK2
VHL	EP300
VHL	TUBA3C
HDAC3	CCT4
EEF1A1	TUBA4A
AR	FOXA1
HDAC3	WDR5
MIS12	MIS12
CALM3	EWSR1
HDAC3	VHL
ESR1	YWHAQ
RBPMS	RBPMS
L3MBTL2	CCT7
PRPS1	CRBN
TRA2B	CUL3
CALM3	RNF2
ESR1	EP300
APP	LNX1
HNRNPK	IGF2BP1
EEF1A1	MTF1
MAP3K7	UBC
ZNF385C	RBPMS
HNRNPK	CRY2
YWHAZ	TAB2
VHL	HUWE1
CSNK2A1	CHD4
CCT6A	ZNF746
SRC	SRC
ZNF746	ZNF746
CCT7	FBXO6
SHC1	CCT7
EGFR	EIF5A
MCM2	ACTA1
TUBA4A	TUBA3C
ACTG1	ACTA1
APBB1	EGFR
SP1	CALM3
TLE1	TLE1
CCT2	L3MBTL2
TRA2B	CYLD
CSNK2A1	CBX2
APP	DNAJB1
TCP1	CCT6B
RBMX	QKI
ATXN1	DAZAP2
MAPT	YWHAQ
EWSR1	RNF2
RBM10	MTF1
CCT5	RNF2
KIF1C	YWHAE
EWSR1	RBPMS
CD81	TUBA4A
FOXK2	CHD3
HNRNPK	TERF2IP
YWHAZ	KPNB1
EIF5	YWHAZ
CLK3	CLK3
HDAC3	NCOR2
NCOR1	SIRT1
AR	TAB2
MCM2	SRSF3
SHC1	CD81
RBMX	LNX1
KIF1C	YWHAZ
RNF2	PCGF6
TCP1	CRBN
CHD4	NAB2
YWHAZ	SMARCB1
CCT4	POC1A
ACTA1	ACTA1
HSCB	THNSL1
UBC	HIST2H2BE
WDR5	PCGF6
CCT6A	RPAP1
TERF1	KPNB1
ESR1	TAB2
DPYSL5	DPYSL5
CCT4	L3MBTL2
TUBA4A	CYLD
APBB1	APBB1
CCT7	WWOX
CCNB2	MCM2
UBC	DNAJB1
CCT2	POC1A
CLK3	YWHAZ
CD81	HIST3H3
CCT2	WWOX
HDAC3	AR
NCOR1	NCOR1
SRC	WWOX
DYNLL1	DYNLL1
YWHAQ	CUL3
MAP3K7	ACTG1
EIF2B2	PCGF6
ICAM1	UBC
EGFR	MAPT
WDR5	CCT2
TAB2	TAB2
CCT6A	HUWE1
FOXK2	CHD4
YWHAZ	HUWE1
TCP1	CUL3
ESR1	FOXA1
SUZ12	DAZAP1
CHD4	HIST3H3
YWHAZ	UBE3A
ESR2	NCOR2
APP	CUL3
PMS1	CYLD
CCT5	CUL3
EGFR	HIST3H3
TRA2B	EWSR1
DYNLL1	ACTG1
FOXA1	ODF2
SP1	SRC
UBC	EEF1A2
ARIH1	ARIH1
SP1	CHD3
PIN1	NCOR2
CSNK2A1	VSX1
CUL3	FAM103A1
TCP1	TUBA4A
NCOR1	TBL1XR1
CCT2	TUBA3C
UBC	RNF2
SMARCB1	TBL1XR1
EGFR	ACTA1
UBXN7	VHL
SHC1	ACTA1
HIST2H2AC	VSX1
NCOR1	YWHAZ
TUBA3C	TAB1
HNRNPK	WWOX
NUDCD2	POT1
CALM3	CUL3
MCM2	DPYSL2
CALM3	MCM2
SRSF3	EWSR1
TERF1	RNF2
CUL3	HIST2H2BE
C17orf113	BOLL
APP	HSCB
HNF4A	SUZ12
YWHAE	FBXO6
SRPK2	CUL3
TCP1	VHL
MCM2	TUBA3C
MAPT	SMAD2
EIF5B	CALM3
CBX2	HIST3H3
TUBA4A	MBIP
SRPK2	SRSF3
RBMX	CIRBP
APP	CCT7
CUL4A	ARIH1
TUBA4A	CCT7
YWHAZ	EP300
SP1	NCOR2
TUBA4A	CUL4A
CSNK2A1	IGSF8
CCT6A	FOXA1
EGFR	UBC
EIF1AX	EIF5
RBMX	PRR3
DNAJB1	TERF1
APP	SRC
EWSR1	EWSR1
SP1	ACTG1
YWHAZ	CCT2
SMAD2	ESR2
MAP3K7	CRBN
APP	UBE3A
CYLD	TAB2
HGS	AHCYL1
UBC	SRC
HDAC3	TAB2
TRA2B	YTHDC1
HNRNPK	SIRT1
YWHAE	ANKHD1
NEDD4	HNRNPK
CCT2	HUWE1
HIST2H2BE	TBL1XR1
TRA2B	SRSF3
CYLD	CYLD
SMARCB1	MBIP
FOXA1	SRSF9
ESR1	NCOA6
HSCB	HSCB
CALM3	AR
CCT6A	L3MBTL2
UBXN7	CSNK1E
HTR7	TUBA4A
CHD3	GPS2
MBIP	MBIP
ATXN1	NCOR2
MCM2	EWSR1
CLK1	YTHDC1
FOXK2	FOXK2
APP	HIST2H2AC
WDR5	TERF2IP
APP	YWHAZ
PPM1A	SMAD3
CALM3	HUWE1
RBMX	CLK3
FOXK2	SATB2
RBMX	EEF1A1
SP1	MTF1
SHBG	EEF1A1
HDAC3	HNF4A
KPNB1	YTHDC1
EGFR	YWHAE
SUZ12	EIF2AK3
SRC	YTHDC1
HDAC3	CCT7
RBMX	YTHDC1
NCOR1	EWSR1
RBMX	ESR2
RBM3	CUL3
NUDCD2	SIRT1
UBC	HNRNPK
UBXN7	CUL3
TBL1X	TBL1XR1
EIF5B	EGFR
EIF5B	SMAD2
RBMX	WWOX
MAPT	YWHAZ
UBC	DAZAP2
SRC	SMARCB1
SP1	ODF2
ESR1	CHD4
ESR1	DNAJB4
LRP6	LRRK2
GCM2	RBPMS
TUBA4A	SMAD2
EP300	BANP
NCOR1	DZIP3
HDAC3	CCT5
HNRNPF	YWHAZ
LNX1	LNX1
VHL	EIF1AX
TLE2	TLE2
FOXK2	GPS2
RABEP1	RABEP1
DAZAP1	RNF2
YWHAQ	SRSF3
UBC	CUL3
SHBG	SHBG
TERF2IP	OGFR
EP300	SMAD2
HDAC3	SUZ12
APP	CLK3
CHD3	KPNB1
HNRNPK	TUBA4A
SMAD3	DNAJB4
CAPN15	UBC
AEN	ZNF317
EIF2B2	EIF5
KHDRBS3	RBMX
CCT5	CCT3
SHC1	PRPF31
SMAD2	HUWE1
ATXN1	RBPMS
UBC	TAB2
NCOR1	ESR2
EGFR	EWSR1
SRC	ACTA1
CCT6A	ESR2
WDR36	RNF2
MAP3K7	SMAD2
EEF1A2	CUL3
CSNK1E	CSNK1E
DNAJB1	DNAJB4
SP1	VHL
SMAD3	CHD8
POC1A	CCT7
ICAM1	CSNK2A1
CCT4	CRY2
ESR1	EWSR1
DNAJB1	NUDC
APP	EIF2B2
CCT6A	FBXO6
CALM3	LRRK2
WWOX	WWOX
MCM2	YWHAZ
APP	DZIP1L
ABRAXAS2	HUWE1
PRPS1	FBXO6
TBL1X	SMARCB1
MCM2	APOBEC3C
SUZ12	SIRT1
GPS2	GPS2
MCM2	CCT2
PCNA	FBXO6
YWHAQ	LRRK2
RPAP1	IGF2BP1
EEF1A1	CRY2
MCM2	EEF1A2
UBC	EP300
KHDRBS3	YTHDC1
YWHAE	CRY2
HUWE1	NUDC
SP1	HNF4A
TERF1	OGFR
RBM10	HUWE1
ESR1	CCT2
TUBA3C	TAB2
YWHAE	UBE3A
SMAD3	KPNB1
CCT5	CCT6B
PRPF31	PRPF31
ESR1	CCT7
HNRNPK	RASD1
SMAD3	SMAD3
EEF1A1	EEF1A1
POC1A	NUDC
SHC1	ACTG1
YWHAQ	YWHAQ
ESR1	CIRBP
CHD3	CHD3
CCT6B	CCT7
ACTG1	FBXO6
ESR1	WDR5
YWHAE	YWHAE
MCM2	HIST2H2BE
CBX2	RNF2
AHCYL1	AHCYL2
HNRNPK	SRPK2
YWHAE	NCOR2
NCOA6	NCOR2
ICAM1	HNRNPK
WDR5	CUL4A
SMAD3	RBPMS
ESR1	RBMX
SRSF9	SUZ12
NEDD4	CLK3
FOXA1	SATB2
YWHAE	EEF1A2
TBL1X	TAB2
MAP3K7	MAP3K7
UBC	MCM2
CCT2	CCT6B
RBMX	SRPK2
CCT3	MCM2
ESR1	FOXK2
AEN	AEN
CUL3	CUL4A
HIST3H3	ZNF746
UBE3A	ESR2
EP300	EP300
DNAJB4	NUDC
JAK2	VHL
CCNB2	EP300
MAPT	SRC
CUL4A	CRBN
YWHAZ	EEF1A1
RBMX	HNRNPF
WDR5	PRPF31
HIST1H4A	CYLD
EWSR1	SRSF9
AR	YWHAQ
YWHAQ	CYLD
HNF4A	SIRT1
NCOR2	NCOR2
TLE1	SUZ12
SHC1	CCT6A
EEF1A1	CUL4A
C17orf113	RBPMS
SRSF3	WWOX
KIF1C	CSNK2A1
SRC	CSNK2A1
YWHAQ	TUBA3C
SRSF9	CUL3
WDR5	LRRK2
HGS	HNRNPK
DYNLL1	TUBA3C
HIST3H3	SIRT1
HNRNPK	PRPF31
ESR1	SMAD3
HDAC3	HDAC3
SRC	SHC1
YWHAZ	EWSR1
RBMX	MCM2
APBB1	ATXN1
CCT2	CYLD
AKT2	VHL
CCT3	CCT6B
CALM3	MBIP
TCP1	PCGF6
BANP	AHCYL2
APP	HIST1H4A
HIST1H4A	FBXO6
CD81	EWSR1
HGS	EGFR
MCM2	EEF1A1
DNAJB1	EWSR1
EGFR	NEDD4
TERF1	NUDCD2
GCM2	GCM2
TERF1	TERF2IP
RBM47	ESR2
RBPMS	QKI
CCT3	WDR5
MCM2	MCM2
UBC	CCT2
FOXA1	HIST3H3
RBMX	CUL3
HNRNPF	HNRNPK
EIF2B2	EIF5A
YWHAZ	WWOX
YWHAQ	ESR2
ESR1	HUWE1
AKT2	LRRK2
ATXN1	RBFOX1
PIN1	DAZAP1
TCP1	FBXO6
UBC	KPNB1
HIST3H3	IGSF8
PRPF31	WWOX
UBC	CSNK1E
CHD3	SIRT1
RNF2	OGFR
HIST1H4A	HIST3H3
TBL1X	GPS2
FOXK2	EIF2AK3
TCP1	CCT5
ESR1	YWHAZ
KHDRBS3	HNRNPK
SHBG	APOBEC3C
YWHAE	RBM10
CCT3	CD81
YWHAE	RBM3
HNRNPF	ZNF746
ESR1	CCT3
UBE3A	SRSF9
PRDX2	DAZAP1
PUM2	PUM2
DYNLL1	EEF1A1
cDNA FLJ58101, highly similar to F-box/LRR-repeat protein 18	RBPMS
HIST1H4A	TLE1
HNRNPK	YTHDC1
PRDX2	MCM2
EP300	SIRT1
MAPT	EWSR1
TCP1	ZNF746
ZNF746	IGF2BP1
VHL	CCT5
CCT4	WDR5
EGFR	FBXO6
HDAC3	TLE1
APP	SRSF3
CLK3	SIRT1
HNRNPK	SRSF3
ODF2	CYLD
PIN1	RBPMS
CUL3	KLHL24
CHD3	LRIF1
CCT4	PCGF6
UBC	NCOA6
YWHAQ	HNRNPF
CCT4	CUL3
HNRNPK	QKI
MCM2	YWHAE
ATXN1	QRICH1
TRA2B	SRSF9
UBC	RABEP1
HDAC3	CSNK2A1
TCP1	CCT2
VHL	VHL
EGFR	HNRNPK
RBM10	FBXO6
YWHAZ	FBXO6
SRC	YWHAE
PMS1	CUL3
SRC	PBK
EEF1A1	EEF1A2
RBM10	RBM10
YWHAZ	GPS2
CLK1	CLK1
ACTG1	EEF1A1
UBC	MAPT
SRC	EP300
HIST3H3	LRIF1
UBE3A	UBE3A
NAB2	RBPMS
APP	CSNK1E
ATXN1	CRY2
JAK2	EGFR
MAP3K7	YWHAE
TLE2	CUL4A
ESR1	SRC
CCT4	CD81
MCM2	CUL4A
APP	AKT2
YWHAZ	YWHAZ
POT1	TERF2IP
SHC1	PRDX2
UBXN7	UBC
UBC	NDUFS1
CCT4	CCT6B
SMAD3	SLC9A3R2
ACTG1	EEF1A2
KIF1C	KIF1C
CRY2	CRY2
PRDX2	CYLD
EIF5B	EIF1AX
CCNB2	CCT2
TCP1	SMAD3
TCP1	ESR2
LRIF1	NCKIPSD
NCOR1	CLK1
C17orf113	HNRNPK
CCT5	LRRK2
UBC	ABRAXAS2
EIF5A	HUWE1
CCT7	PCGF6
PRDX2	EWSR1
MAP3K7	MCM2
PRDX2	FOXA1
EP300	PIN1
ESR2	CCT7
YWHAE	POT1
ESR1	MCM2
PIN1	LRIF1
AHCYL1	SRPK2
YWHAQ	HNRNPK
RBMX	ZNF746
APP	SRPK2
EGFR	DAZL
CCT3	CCT4
EP300	ESR2
SRPK2	RABEP1
RBM10	ESR2
MCM2	EIF5A
EGFR	SHC1
HGS	MAP3K7
PCNA	CUL3
HNRNPK	RBM3
HNRNPF	WWOX
VHL	CSNK2A1
HIST1H4A	MTF1
RBMX	MTF1
CCT5	POC1A
CCT4	CCT2
CCT3	L3MBTL2
MAPT	MAPT
YWHAZ	LRRK2
RBMX	RNF2
DAZAP2	DAZL
EGFR	CSNK2A1
RBPMS	CRBN
ESR1	PRDX2
MAP3K7	DAZAP2
ZFX	HSCB
CCT6A	YWHAZ
YWHAE	HUWE1
UBC	TUBA3C
HTR7	HIST3H3
AR	SIRT1
SRPK2	FOXK2
CCT6A	SMAD2
RAD51	RAD51
HDAC3	CHD3
SRPK2	SRSF9
MAP3K7	CSNK1E
RBMX	FAM103A1
ESR1	SRPK2
PIN1	ZBTB9
HNF4A	HNF4A
HTR7	CUL3
CCT5	CUL4A
CHD4	TBL1XR1
CHD4	MTF1
JAK2	KPNB1
SRC	ESR2
APP	TAB2
BANP	TERF2IP
YWHAE	YWHAZ
MCM2	HUWE1
CCT2	FBXO6
TCP1	POC1A
YWHAQ	YWHAE
EP300	NCOR2
CCT6A	POC1A
UBC	ACTA1
GPS2	TBL1XR1
CCT3	CCT2
CUL4A	DCAF16
FOXK2	YTHDC1
NCOR1	SMARCB1
MCM2	RBM3
CCT2	CCT7
HDAC3	YWHAE
ESR1	LRIF1
AHCYL1	AHCYL1
HNRNPK	RBM10
ICAM1	CCT4
CCT3	PCGF6
SHC1	PIN1
MAPT	TUBA4A
TBL1X	NCOR2
SUZ12	SUZ12
CCT6A	CRY2
NDUFS1	MCM2
CLK3	YTHDC1
SRC	SRPK2
APP	HS2ST1
PCNA	CYLD
MAPT	CSNK2A1
AR	SHC1
HNRNPK	CRBN
EIF5	CHD4
UBC	RBM3
UBC	HUWE1
HIST1H4A	HIST1H4A
EIF5	HNRNPK
CCT5	ACTA1
MCM2	CCT7
CCT3	RBM3
WDR36	NUDC
RBMX	CSNK2A1
EEF1A1	RBM3
MCM2	ACTG1
APBB1	PCGF6
NCOR1	AR
HDAC3	GMNN
EGFR	ICAM1
TCP1	YWHAZ
WDR5	HIST3H3
